Geography,variable,population
British Columbia / Colombie-Britannique ( 26.1%),Industry - Not applicable_1,23625
British Columbia / Colombie-Britannique ( 26.1%),All industries_1,1199745
British Columbia / Colombie-Britannique ( 26.1%),"11 Agriculture, forestry, fishing and hunting_1",40810
British Columbia / Colombie-Britannique ( 26.1%),"21 Mining, quarrying, and oil and gas extraction_1",21175
British Columbia / Colombie-Britannique ( 26.1%),22 Utilities_1,9655
British Columbia / Colombie-Britannique ( 26.1%),23 Construction_1,159605
British Columbia / Colombie-Britannique ( 26.1%),31-33 Manufacturing_1,108480
British Columbia / Colombie-Britannique ( 26.1%),41 Wholesale trade_1,61735
British Columbia / Colombie-Britannique ( 26.1%),44-45 Retail trade_1,121750
British Columbia / Colombie-Britannique ( 26.1%),48-49 Transportation and warehousing_1,89150
British Columbia / Colombie-Britannique ( 26.1%),51 Information and cultural industries_1,37250
British Columbia / Colombie-Britannique ( 26.1%),52 Finance and insurance_1,35375
British Columbia / Colombie-Britannique ( 26.1%),53 Real estate and rental and leasing_1,29795
British Columbia / Colombie-Britannique ( 26.1%),"54 Professional, scientific and technical services_1",98760
British Columbia / Colombie-Britannique ( 26.1%),55 Management of companies and enterprises_1,1325
British Columbia / Colombie-Britannique ( 26.1%),"56 Administrative and support, waste management and remediation services_1",55745
British Columbia / Colombie-Britannique ( 26.1%),61 Educational services_1,55640
British Columbia / Colombie-Britannique ( 26.1%),62 Health care and social assistance_1,47020
British Columbia / Colombie-Britannique ( 26.1%),"71 Arts, entertainment and recreation_1",29745
British Columbia / Colombie-Britannique ( 26.1%),72 Accommodation and food services_1,73570
British Columbia / Colombie-Britannique ( 26.1%),81 Other services (except public administration)_1,49130
British Columbia / Colombie-Britannique ( 26.1%),91 Public administration_1,74040
British Columbia / Colombie-Britannique ( 26.1%),Female labour force aged 15 years and over by industry - North American Industry Classification System (NAICS) 2007,1130875
British Columbia / Colombie-Britannique ( 26.1%),Industry - Not applicable_2,25305
British Columbia / Colombie-Britannique ( 26.1%),All industries_2,1105570
British Columbia / Colombie-Britannique ( 26.1%),"11 Agriculture, forestry, fishing and hunting_2",20405
British Columbia / Colombie-Britannique ( 26.1%),"21 Mining, quarrying, and oil and gas extraction_2",4280
British Columbia / Colombie-Britannique ( 26.1%),22 Utilities_2,3560
British Columbia / Colombie-Britannique ( 26.1%),23 Construction_2,21915
British Columbia / Colombie-Britannique ( 26.1%),31-33 Manufacturing_2,40330
British Columbia / Colombie-Britannique ( 26.1%),41 Wholesale trade_2,28820
British Columbia / Colombie-Britannique ( 26.1%),44-45 Retail trade_2,144515
British Columbia / Colombie-Britannique ( 26.1%),48-49 Transportation and warehousing_2,29520
British Columbia / Colombie-Britannique ( 26.1%),51 Information and cultural industries_2,24980
British Columbia / Colombie-Britannique ( 26.1%),52 Finance and insurance_2,56415
British Columbia / Colombie-Britannique ( 26.1%),53 Real estate and rental and leasing_2,25055
British Columbia / Colombie-Britannique ( 26.1%),"54 Professional, scientific and technical services_2",80590
British Columbia / Colombie-Britannique ( 26.1%),55 Management of companies and enterprises_2,1120
British Columbia / Colombie-Britannique ( 26.1%),"56 Administrative and support, waste management and remediation services_2",43145
British Columbia / Colombie-Britannique ( 26.1%),61 Educational services_2,112235
British Columbia / Colombie-Britannique ( 26.1%),62 Health care and social assistance_2,202010
British Columbia / Colombie-Britannique ( 26.1%),"71 Arts, entertainment and recreation_2",27170
British Columbia / Colombie-Britannique ( 26.1%),72 Accommodation and food services_2,106050
British Columbia / Colombie-Britannique ( 26.1%),81 Other services (except public administration)_2,63615
British Columbia / Colombie-Britannique ( 26.1%),91 Public administration_2,69835
British Columbia / Colombie-Britannique ( 26.1%),Total labour force aged 15 years and over by work activity in 2010,2354245
British Columbia / Colombie-Britannique ( 26.1%),Did not work in 2010,124240
British Columbia / Colombie-Britannique ( 26.1%),Worked in 2010,2230010
British Columbia / Colombie-Britannique ( 26.1%),1 to 13 weeks,124685
British Columbia / Colombie-Britannique ( 26.1%),14 to 26 weeks,189705
British Columbia / Colombie-Britannique ( 26.1%),27 to 39 weeks,158720
British Columbia / Colombie-Britannique ( 26.1%),40 to 48 weeks,419080
British Columbia / Colombie-Britannique ( 26.1%),49 to 52 weeks,1337820
British Columbia / Colombie-Britannique ( 26.1%),Average weeks worked in 2010,43.9
British Columbia / Colombie-Britannique ( 26.1%),Male labour force aged 15 years and over by work activity in 2010,1223375
British Columbia / Colombie-Britannique ( 26.1%),Did not work in 2010_1,58550
British Columbia / Colombie-Britannique ( 26.1%),Worked in 2010_1,1164825
British Columbia / Colombie-Britannique ( 26.1%),1 to 13 weeks_1,60060
British Columbia / Colombie-Britannique ( 26.1%),14 to 26 weeks_1,94100
British Columbia / Colombie-Britannique ( 26.1%),27 to 39 weeks_1,81050
British Columbia / Colombie-Britannique ( 26.1%),40 to 48 weeks_1,214170
British Columbia / Colombie-Britannique ( 26.1%),49 to 52 weeks_1,715445
British Columbia / Colombie-Britannique ( 26.1%),Average weeks worked in 2010_1,44.3
British Columbia / Colombie-Britannique ( 26.1%),Female labour force aged 15 years and over by work activity in 2010,1130870
British Columbia / Colombie-Britannique ( 26.1%),Did not work in 2010_2,65690
British Columbia / Colombie-Britannique ( 26.1%),Worked in 2010_2,1065180
British Columbia / Colombie-Britannique ( 26.1%),1 to 13 weeks_2,64620
British Columbia / Colombie-Britannique ( 26.1%),14 to 26 weeks_2,95605
British Columbia / Colombie-Britannique ( 26.1%),27 to 39 weeks_2,77675
British Columbia / Colombie-Britannique ( 26.1%),40 to 48 weeks_2,204900
British Columbia / Colombie-Britannique ( 26.1%),49 to 52 weeks_2,622375
British Columbia / Colombie-Britannique ( 26.1%),Average weeks worked in 2010_2,43.5
British Columbia / Colombie-Britannique ( 26.1%),Total labour force population aged 15 years and over by full-time or part-time weeks worked in 2010,2354245
British Columbia / Colombie-Britannique ( 26.1%),Did not work in 2010_3,124235
British Columbia / Colombie-Britannique ( 26.1%),Worked in 2010_3,2230010
British Columbia / Colombie-Britannique ( 26.1%),Worked full-time in 2010,1713540
British Columbia / Colombie-Britannique ( 26.1%),Worked part-time in 2010,516465
British Columbia / Colombie-Britannique ( 26.1%),Male labour force aged 15 years and over by full-time or part-time weeks worked in 2010,1223375
British Columbia / Colombie-Britannique ( 26.1%),Did not work in 2010_4,58550
British Columbia / Colombie-Britannique ( 26.1%),Worked in 2010_4,1164830
British Columbia / Colombie-Britannique ( 26.1%),Worked full-time in 2010_1,984610
British Columbia / Colombie-Britannique ( 26.1%),Worked part-time in 2010_1,180220
British Columbia / Colombie-Britannique ( 26.1%),Female labour force aged 15 years and over by full-time or part-time weeks worked in 2010,1130875
British Columbia / Colombie-Britannique ( 26.1%),Did not work in 2010_5,65690
British Columbia / Colombie-Britannique ( 26.1%),Worked in 2010_5,1065180
British Columbia / Colombie-Britannique ( 26.1%),Worked full-time in 2010_2,728930
British Columbia / Colombie-Britannique ( 26.1%),Worked part-time in 2010_2,336250
British Columbia / Colombie-Britannique ( 26.1%),Total employed population aged 15 years and over by place of work status,2171470
British Columbia / Colombie-Britannique ( 26.1%),Worked at home,174005
British Columbia / Colombie-Britannique ( 26.1%),Worked outside Canada,12480
British Columbia / Colombie-Britannique ( 26.1%),No fixed workplace address,304460
British Columbia / Colombie-Britannique ( 26.1%),Worked at usual place,1680525
British Columbia / Colombie-Britannique ( 26.1%),Employed males aged 15 years and over by place of work status,1124590
British Columbia / Colombie-Britannique ( 26.1%),Worked at home_1,84015
British Columbia / Colombie-Britannique ( 26.1%),Worked outside Canada_1,9210
British Columbia / Colombie-Britannique ( 26.1%),No fixed workplace address_1,225845
British Columbia / Colombie-Britannique ( 26.1%),Worked at usual place_1,805525
British Columbia / Colombie-Britannique ( 26.1%),Employed females aged 15 years and over by place of work status,1046880
British Columbia / Colombie-Britannique ( 26.1%),Worked at home_2,89990
British Columbia / Colombie-Britannique ( 26.1%),Worked outside Canada_2,3270
British Columbia / Colombie-Britannique ( 26.1%),No fixed workplace address_2,78620
British Columbia / Colombie-Britannique ( 26.1%),Worked at usual place_2,875000
British Columbia / Colombie-Britannique ( 26.1%),Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,1984985
British Columbia / Colombie-Britannique ( 26.1%),"Car, truck or van - as a driver",1415740
British Columbia / Colombie-Britannique ( 26.1%),"Car, truck or van - as a passenger",110695
British Columbia / Colombie-Britannique ( 26.1%),Public transit,250450
British Columbia / Colombie-Britannique ( 26.1%),Walked,132200
British Columbia / Colombie-Britannique ( 26.1%),Bicycle,42260
British Columbia / Colombie-Britannique ( 26.1%),Other methods,33635
British Columbia / Colombie-Britannique ( 26.1%),Employed males aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,1031365
British Columbia / Colombie-Britannique ( 26.1%),"Car, truck or van - as a driver_1",773160
British Columbia / Colombie-Britannique ( 26.1%),"Car, truck or van - as a passenger_1",47425
British Columbia / Colombie-Britannique ( 26.1%),Public transit_1,107645
British Columbia / Colombie-Britannique ( 26.1%),Walked_1,57000
British Columbia / Colombie-Britannique ( 26.1%),Bicycle_1,26595
British Columbia / Colombie-Britannique ( 26.1%),Other methods_1,19535
British Columbia / Colombie-Britannique ( 26.1%),Employed females aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,953620
British Columbia / Colombie-Britannique ( 26.1%),"Car, truck or van - as a driver_2",642580
British Columbia / Colombie-Britannique ( 26.1%),"Car, truck or van - as a passenger_2",63270
British Columbia / Colombie-Britannique ( 26.1%),Public transit_2,142810
British Columbia / Colombie-Britannique ( 26.1%),Walked_2,75200
British Columbia / Colombie-Britannique ( 26.1%),Bicycle_2,15665
British Columbia / Colombie-Britannique ( 26.1%),Other methods_2,14100
British Columbia / Colombie-Britannique ( 26.1%),Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,1984990
British Columbia / Colombie-Britannique ( 26.1%),Median commuting duration,20.4
British Columbia / Colombie-Britannique ( 26.1%),Employed males aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,1031365
British Columbia / Colombie-Britannique ( 26.1%),Median commuting duration_1,20.7
British Columbia / Colombie-Britannique ( 26.1%),Employed females aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,953625
British Columbia / Colombie-Britannique ( 26.1%),Median commuting duration_2,20
British Columbia / Colombie-Britannique ( 26.1%),Total employed population aged 15 years and over by time leaving for work,1984985
British Columbia / Colombie-Britannique ( 26.1%),Between 5 and 6:59 a.m,455025
British Columbia / Colombie-Britannique ( 26.1%),Between 7 and 9:00 a.m.,1097800
British Columbia / Colombie-Britannique ( 26.1%),Anytime after 9:00 a.m.,432165
British Columbia / Colombie-Britannique ( 26.1%),Employed males aged 15 years and over by time leaving for work,1031365
British Columbia / Colombie-Britannique ( 26.1%),Between 5 and 6:59 a.m_1,299985
British Columbia / Colombie-Britannique ( 26.1%),Between 7 and 9:00 a.m._1,521570
British Columbia / Colombie-Britannique ( 26.1%),Anytime after 9:00 a.m._1,209805
British Columbia / Colombie-Britannique ( 26.1%),Employed females aged 15 years and over by time leaving for work,953620
British Columbia / Colombie-Britannique ( 26.1%),Between 5 and 6:59 a.m_2,155035
British Columbia / Colombie-Britannique ( 26.1%),Between 7 and 9:00 a.m._2,576230
British Columbia / Colombie-Britannique ( 26.1%),Anytime after 9:00 a.m._2,222355
British Columbia / Colombie-Britannique ( 26.1%),Total income in 2010 of population aged 15 years and over,3646835
British Columbia / Colombie-Britannique ( 26.1%),Without income,182585
British Columbia / Colombie-Britannique ( 26.1%),With income,3464255
British Columbia / Colombie-Britannique ( 26.1%),"Under $5,000",401210
British Columbia / Colombie-Britannique ( 26.1%),"$5,000 to $9,999",244705
British Columbia / Colombie-Britannique ( 26.1%),"$10,000 to $14,999",333320
British Columbia / Colombie-Britannique ( 26.1%),"$15,000 to $19,999",332735
British Columbia / Colombie-Britannique ( 26.1%),"$20,000 to $29,999",470255
British Columbia / Colombie-Britannique ( 26.1%),"$30,000 to $39,999",404855
British Columbia / Colombie-Britannique ( 26.1%),"$40,000 to $49,999",338595
British Columbia / Colombie-Britannique ( 26.1%),"$50,000 to $59,999",253215
British Columbia / Colombie-Britannique ( 26.1%),"$60,000 to $79,999",330595
British Columbia / Colombie-Britannique ( 26.1%),"$80,000 to $99,999",169190
British Columbia / Colombie-Britannique ( 26.1%),"$100,000 and over",185580
British Columbia / Colombie-Britannique ( 26.1%),"$100,000 to $124,999",89520
British Columbia / Colombie-Britannique ( 26.1%),"$125,000 and over",96060
British Columbia / Colombie-Britannique ( 26.1%),Median income $,28765
British Columbia / Colombie-Britannique ( 26.1%),Average income $,39415
British Columbia / Colombie-Britannique ( 26.1%),Total income in 2010 of males aged 15 years and over,1775440
British Columbia / Colombie-Britannique ( 26.1%),Without income_1,79770
British Columbia / Colombie-Britannique ( 26.1%),With income_1,1695680
British Columbia / Colombie-Britannique ( 26.1%),"Under $5,000_1",189605
British Columbia / Colombie-Britannique ( 26.1%),"$5,000 to $9,999_1",86215
British Columbia / Colombie-Britannique ( 26.1%),"$10,000 to $14,999_1",133650
British Columbia / Colombie-Britannique ( 26.1%),"$15,000 to $19,999_1",129525
British Columbia / Colombie-Britannique ( 26.1%),"$20,000 to $29,999_1",201000
British Columbia / Colombie-Britannique ( 26.1%),"$30,000 to $39,999_1",186285
British Columbia / Colombie-Britannique ( 26.1%),"$40,000 to $49,999_1",167400
British Columbia / Colombie-Britannique ( 26.1%),"$50,000 to $59,999_1",143765
British Columbia / Colombie-Britannique ( 26.1%),"$60,000 to $79,999_1",206395
British Columbia / Colombie-Britannique ( 26.1%),"$80,000 to $99,999_1",112525
British Columbia / Colombie-Britannique ( 26.1%),"$100,000 and over_1",139305
British Columbia / Colombie-Britannique ( 26.1%),"$100,000 to $124,999_1",65045
British Columbia / Colombie-Britannique ( 26.1%),"$125,000 and over_1",74260
British Columbia / Colombie-Britannique ( 26.1%),Median income $_1,35627
British Columbia / Colombie-Britannique ( 26.1%),Average income $_1,47480
British Columbia / Colombie-Britannique ( 26.1%),Total income in 2010 of females aged 15 years and over,1871395
British Columbia / Colombie-Britannique ( 26.1%),Without income_2,102815
British Columbia / Colombie-Britannique ( 26.1%),With income_2,1768585
British Columbia / Colombie-Britannique ( 26.1%),"Under $5,000_2",211610
British Columbia / Colombie-Britannique ( 26.1%),"$5,000 to $9,999_2",158490
British Columbia / Colombie-Britannique ( 26.1%),"$10,000 to $14,999_2",199670
British Columbia / Colombie-Britannique ( 26.1%),"$15,000 to $19,999_2",203205
British Columbia / Colombie-Britannique ( 26.1%),"$20,000 to $29,999_2",269260
British Columbia / Colombie-Britannique ( 26.1%),"$30,000 to $39,999_2",218575
British Columbia / Colombie-Britannique ( 26.1%),"$40,000 to $49,999_2",171195
British Columbia / Colombie-Britannique ( 26.1%),"$50,000 to $59,999_2",109450
British Columbia / Colombie-Britannique ( 26.1%),"$60,000 to $79,999_2",124195
British Columbia / Colombie-Britannique ( 26.1%),"$80,000 to $99,999_2",56670
British Columbia / Colombie-Britannique ( 26.1%),"$100,000 and over_2",46270
British Columbia / Colombie-Britannique ( 26.1%),"$100,000 to $124,999_2",24475
British Columbia / Colombie-Britannique ( 26.1%),"$125,000 and over_2",21795
British Columbia / Colombie-Britannique ( 26.1%),Median income $_2,23624
British Columbia / Colombie-Britannique ( 26.1%),Average income $_2,31683
British Columbia / Colombie-Britannique ( 26.1%),After-tax income in 2010 of population 15 years and over,3646840
British Columbia / Colombie-Britannique ( 26.1%),Without after-tax income,183005
British Columbia / Colombie-Britannique ( 26.1%),With after-tax income,3463840
British Columbia / Colombie-Britannique ( 26.1%),"Under $5,000_3",408880
British Columbia / Colombie-Britannique ( 26.1%),"$5,000 to $9,999_3",248915
British Columbia / Colombie-Britannique ( 26.1%),"$10,000 to $14,999_3",340510
British Columbia / Colombie-Britannique ( 26.1%),"$15,000 to $19,999_3",352155
British Columbia / Colombie-Britannique ( 26.1%),"$20,000 to $29,999_3",539910
British Columbia / Colombie-Britannique ( 26.1%),"$30,000 to $39,999_3",474000
British Columbia / Colombie-Britannique ( 26.1%),"$40,000 to $49,999_3",367820
British Columbia / Colombie-Britannique ( 26.1%),"$50,000 to $59,999_3",253315
British Columbia / Colombie-Britannique ( 26.1%),"$60,000 to $79,999_3",285615
British Columbia / Colombie-Britannique ( 26.1%),"$80,000 to $99,999_3",101395
British Columbia / Colombie-Britannique ( 26.1%),"$100,000 and over_3",91330
British Columbia / Colombie-Britannique ( 26.1%),Median after-tax income $,26842
British Columbia / Colombie-Britannique ( 26.1%),Average after-tax income $,33758
British Columbia / Colombie-Britannique ( 26.1%),After-tax income in 2010 of males 15 years and over,1775440
British Columbia / Colombie-Britannique ( 26.1%),Without after-tax income_1,79655
British Columbia / Colombie-Britannique ( 26.1%),With after-tax income_1,1695790
British Columbia / Colombie-Britannique ( 26.1%),"Under $5,000_4",192125
British Columbia / Colombie-Britannique ( 26.1%),"$5,000 to $9,999_4",87105
British Columbia / Colombie-Britannique ( 26.1%),"$10,000 to $14,999_4",136555
British Columbia / Colombie-Britannique ( 26.1%),"$15,000 to $19,999_4",138620
British Columbia / Colombie-Britannique ( 26.1%),"$20,000 to $29,999_4",234275
British Columbia / Colombie-Britannique ( 26.1%),"$30,000 to $39,999_4",223580
British Columbia / Colombie-Britannique ( 26.1%),"$40,000 to $49,999_4",198965
British Columbia / Colombie-Britannique ( 26.1%),"$50,000 to $59,999_4",155505
British Columbia / Colombie-Britannique ( 26.1%),"$60,000 to $79,999_4",185755
British Columbia / Colombie-Britannique ( 26.1%),"$80,000 to $99,999_4",73125
British Columbia / Colombie-Britannique ( 26.1%),"$100,000 and over_4",70175
British Columbia / Colombie-Britannique ( 26.1%),Median after-tax income $_1,32557
British Columbia / Colombie-Britannique ( 26.1%),Average after-tax income $_1,39804
British Columbia / Colombie-Britannique ( 26.1%),After-tax income in 2010 of females 15 years and over,1871395
British Columbia / Colombie-Britannique ( 26.1%),Without after-tax income_2,103350
British Columbia / Colombie-Britannique ( 26.1%),With after-tax income_2,1768050
British Columbia / Colombie-Britannique ( 26.1%),"Under $5,000_5",216750
British Columbia / Colombie-Britannique ( 26.1%),"$5,000 to $9,999_5",161810
British Columbia / Colombie-Britannique ( 26.1%),"$10,000 to $14,999_5",203950
British Columbia / Colombie-Britannique ( 26.1%),"$15,000 to $19,999_5",213535
British Columbia / Colombie-Britannique ( 26.1%),"$20,000 to $29,999_5",305630
British Columbia / Colombie-Britannique ( 26.1%),"$30,000 to $39,999_5",250425
British Columbia / Colombie-Britannique ( 26.1%),"$40,000 to $49,999_5",168860
British Columbia / Colombie-Britannique ( 26.1%),"$50,000 to $59,999_5",97810
British Columbia / Colombie-Britannique ( 26.1%),"$60,000 to $79,999_5",99855
British Columbia / Colombie-Britannique ( 26.1%),"$80,000 to $99,999_5",28265
British Columbia / Colombie-Britannique ( 26.1%),"$100,000 and over_5",21155
British Columbia / Colombie-Britannique ( 26.1%),Median after-tax income $_2,22485
British Columbia / Colombie-Britannique ( 26.1%),Average after-tax income $_2,27958
British Columbia / Colombie-Britannique ( 26.1%),Composition of total income in 2010 of population 15 years and over %,100.0
British Columbia / Colombie-Britannique ( 26.1%),Market income %,88.3
British Columbia / Colombie-Britannique ( 26.1%),Employment income %,73.7
British Columbia / Colombie-Britannique ( 26.1%),Wages and salaries %,69.0
British Columbia / Colombie-Britannique ( 26.1%),Self-employment income %,4.6
British Columbia / Colombie-Britannique ( 26.1%),Investment income %,6.1
British Columbia / Colombie-Britannique ( 26.1%),"Retirement pensions, superannuation and annuities %",6.9
British Columbia / Colombie-Britannique ( 26.1%),Other money income %,1.7
British Columbia / Colombie-Britannique ( 26.1%),Government transfer payments %,11.7
British Columbia / Colombie-Britannique ( 26.1%),Canada/Quebec Pension Plan benefits %,3.7
British Columbia / Colombie-Britannique ( 26.1%),Old Age Security pensions and Guaranteed Income Supplement %,3.3
British Columbia / Colombie-Britannique ( 26.1%),Employment Insurance benefits %,1.5
British Columbia / Colombie-Britannique ( 26.1%),Child benefits %,1.2
British Columbia / Colombie-Britannique ( 26.1%),Other income from government sources %,2.0
British Columbia / Colombie-Britannique ( 26.1%),Income taxes paid as a % of total income,14.4
British Columbia / Colombie-Britannique ( 26.1%),After-tax income as a % of total income,85.6
British Columbia / Colombie-Britannique ( 26.1%),Net capital gains or losses as a % of total income,2.8
British Columbia / Colombie-Britannique ( 26.1%),Composition of total income in 2010 of males 15 years and over %,100.0
British Columbia / Colombie-Britannique ( 26.1%),Market income %_1,91.1
British Columbia / Colombie-Britannique ( 26.1%),Employment income %_1,76.8
British Columbia / Colombie-Britannique ( 26.1%),Wages and salaries %_1,71.5
British Columbia / Colombie-Britannique ( 26.1%),Self-employment income %_1,5.3
British Columbia / Colombie-Britannique ( 26.1%),Investment income %_1,5.5
British Columbia / Colombie-Britannique ( 26.1%),"Retirement pensions, superannuation and annuities %_1",7.3
British Columbia / Colombie-Britannique ( 26.1%),Other money income %_1,1.5
British Columbia / Colombie-Britannique ( 26.1%),Government transfer payments %_1,8.9
British Columbia / Colombie-Britannique ( 26.1%),Canada/Quebec Pension Plan benefits %_1,3.2
British Columbia / Colombie-Britannique ( 26.1%),Old Age Security pensions and Guaranteed Income Supplement %_1,2.4
British Columbia / Colombie-Britannique ( 26.1%),Employment Insurance benefits %_1,1.2
British Columbia / Colombie-Britannique ( 26.1%),Child benefits %_1,0.1
British Columbia / Colombie-Britannique ( 26.1%),Other income from government sources %_1,1.9
British Columbia / Colombie-Britannique ( 26.1%),Income taxes paid as a % of total income_1,16.2
British Columbia / Colombie-Britannique ( 26.1%),After-tax income as a % of total income_1,83.8
British Columbia / Colombie-Britannique ( 26.1%),Net capital gains or losses as a % of total income_1,2.9
British Columbia / Colombie-Britannique ( 26.1%),Composition of total income in 2010 of females 15 years and over %,100.0
British Columbia / Colombie-Britannique ( 26.1%),Market income %_2,84.3
British Columbia / Colombie-Britannique ( 26.1%),Employment income %_2,69.1
British Columbia / Colombie-Britannique ( 26.1%),Wages and salaries %_2,65.4
British Columbia / Colombie-Britannique ( 26.1%),Self-employment income %_2,3.7
British Columbia / Colombie-Britannique ( 26.1%),Investment income %_2,7.0
British Columbia / Colombie-Britannique ( 26.1%),"Retirement pensions, superannuation and annuities %_2",6.3
British Columbia / Colombie-Britannique ( 26.1%),Other money income %_2,2.0
British Columbia / Colombie-Britannique ( 26.1%),Government transfer payments %_2,15.7
British Columbia / Colombie-Britannique ( 26.1%),Canada/Quebec Pension Plan benefits %_2,4.4
British Columbia / Colombie-Britannique ( 26.1%),Old Age Security pensions and Guaranteed Income Supplement %_2,4.5
British Columbia / Colombie-Britannique ( 26.1%),Employment Insurance benefits %_2,1.9
British Columbia / Colombie-Britannique ( 26.1%),Child benefits %_2,2.8
British Columbia / Colombie-Britannique ( 26.1%),Other income from government sources %_2,2.1
British Columbia / Colombie-Britannique ( 26.1%),Income taxes paid as a % of total income_2,11.8
British Columbia / Colombie-Britannique ( 26.1%),After-tax income as a % of total income_2,88.2
British Columbia / Colombie-Britannique ( 26.1%),Net capital gains or losses as a % of total income_2,2.7
British Columbia / Colombie-Britannique ( 26.1%),"Population aged 15 years and over who worked full year, full time and with employment income in 2010",1141340
British Columbia / Colombie-Britannique ( 26.1%),Median employment income in 2010 $,49143
British Columbia / Colombie-Britannique ( 26.1%),Average employment income in 2010 $,58016
British Columbia / Colombie-Britannique ( 26.1%),"Males aged 15 years and over who worked full year, full time and with employment income in 2010",650435
British Columbia / Colombie-Britannique ( 26.1%),Median employment income in 2010 $_1,55334
British Columbia / Colombie-Britannique ( 26.1%),Average employment income in 2010 $_1,65599
British Columbia / Colombie-Britannique ( 26.1%),"Females aged 15 years and over who worked full year, full time and with employment income in 2010",490905
British Columbia / Colombie-Britannique ( 26.1%),Median employment income in 2010 $_2,42839
British Columbia / Colombie-Britannique ( 26.1%),Average employment income in 2010 $_2,47970
British Columbia / Colombie-Britannique ( 26.1%),Income in 2010 of population aged 15 years and over not in economic families,702335
British Columbia / Colombie-Britannique ( 26.1%),Median total income $,27747
British Columbia / Colombie-Britannique ( 26.1%),Average total income $,36592
British Columbia / Colombie-Britannique ( 26.1%),Median after-tax income $_3,25958
British Columbia / Colombie-Britannique ( 26.1%),Average after-tax income $_3,31639
British Columbia / Colombie-Britannique ( 26.1%),Income in 2010 of males aged 15 years and over not in economic families,341165
British Columbia / Colombie-Britannique ( 26.1%),Median total income $_1,30579
British Columbia / Colombie-Britannique ( 26.1%),Average total income $_1,39650
British Columbia / Colombie-Britannique ( 26.1%),Median after-tax income $_4,28095
British Columbia / Colombie-Britannique ( 26.1%),Average after-tax income $_4,33705
British Columbia / Colombie-Britannique ( 26.1%),Income in 2010 of females aged 15 years and over not in economic families,361165
British Columbia / Colombie-Britannique ( 26.1%),Median total income $_2,25619
British Columbia / Colombie-Britannique ( 26.1%),Average total income $_2,33704
British Columbia / Colombie-Britannique ( 26.1%),Median after-tax income $_5,24408
British Columbia / Colombie-Britannique ( 26.1%),Average after-tax income $_5,29689
British Columbia / Colombie-Britannique ( 26.1%),Total population by decile of adjusted after-tax family income,4324455
British Columbia / Colombie-Britannique ( 26.1%),In bottom half of the Canadian distribution,2144675
British Columbia / Colombie-Britannique ( 26.1%),In bottom decile,502820
British Columbia / Colombie-Britannique ( 26.1%),In second decile,442815
British Columbia / Colombie-Britannique ( 26.1%),In third decile,393935
British Columbia / Colombie-Britannique ( 26.1%),In fourth decile,402100
British Columbia / Colombie-Britannique ( 26.1%),In fifth decile,403010
British Columbia / Colombie-Britannique ( 26.1%),In top half of the Canadian distribution,2179780
British Columbia / Colombie-Britannique ( 26.1%),In sixth decile,417640
British Columbia / Colombie-Britannique ( 26.1%),In seventh decile,425225
British Columbia / Colombie-Britannique ( 26.1%),In eighth decile,435020
British Columbia / Colombie-Britannique ( 26.1%),In ninth decile,454685
British Columbia / Colombie-Britannique ( 26.1%),In top decile,447215
British Columbia / Colombie-Britannique ( 26.1%),Total male population by decile of adjusted after-tax family income,2125625
British Columbia / Colombie-Britannique ( 26.1%),In bottom half of the Canadian distribution_1,1021605
British Columbia / Colombie-Britannique ( 26.1%),In bottom decile_1,244035
British Columbia / Colombie-Britannique ( 26.1%),In second decile_1,199845
British Columbia / Colombie-Britannique ( 26.1%),In third decile_1,185700
British Columbia / Colombie-Britannique ( 26.1%),In fourth decile_1,194225
British Columbia / Colombie-Britannique ( 26.1%),In fifth decile_1,197800
British Columbia / Colombie-Britannique ( 26.1%),In top half of the Canadian distribution_1,1104025
British Columbia / Colombie-Britannique ( 26.1%),In sixth decile_1,206750
British Columbia / Colombie-Britannique ( 26.1%),In seventh decile_1,214220
British Columbia / Colombie-Britannique ( 26.1%),In eighth decile_1,220065
British Columbia / Colombie-Britannique ( 26.1%),In ninth decile_1,232860
British Columbia / Colombie-Britannique ( 26.1%),In top decile_1,230125
British Columbia / Colombie-Britannique ( 26.1%),Total female population by decile of adjusted after-tax family income,2198830
British Columbia / Colombie-Britannique ( 26.1%),In bottom half of the Canadian distribution_2,1123075
British Columbia / Colombie-Britannique ( 26.1%),In bottom decile_2,258785
British Columbia / Colombie-Britannique ( 26.1%),In second decile_2,242970
British Columbia / Colombie-Britannique ( 26.1%),In third decile_2,208235
British Columbia / Colombie-Britannique ( 26.1%),In fourth decile_2,207870
British Columbia / Colombie-Britannique ( 26.1%),In fifth decile_2,205205
British Columbia / Colombie-Britannique ( 26.1%),In top half of the Canadian distribution_2,1075755
British Columbia / Colombie-Britannique ( 26.1%),In sixth decile_2,210890
British Columbia / Colombie-Britannique ( 26.1%),In seventh decile_2,211005
British Columbia / Colombie-Britannique ( 26.1%),In eighth decile_2,214955
British Columbia / Colombie-Britannique ( 26.1%),In ninth decile_2,221820
